Query|Response
Tell me about Professor Pluot|Professor Pluot seemed a quiet sort, kept to himself, didn't seem friendly with the others. Also, he was late to dinner, which I did not appreciate.
Tell me about Pluot|Professor Pluot seemed a quiet sort, kept to himself, didn't seem friendly with the others. Also, he was late to dinner, which I did not appreciate.
Tell me about Mrs. Bluejay|Mrs. Bluejay was keen to spend time with Reverend Grass, and he with her. And yet, they continued to pretend that I didn't notice them...engaged with each other. (Sorry, I have a privacy filter on.)
Tell me about Reverend Grass|The Reverend Grass, I would say that is a man smitten. He is quite taken with Mrs. Bluejay. Simply could not take his eyes off of her. Even a simple robot like me could see that.
Tell me about Colonel Gold|Colonel Gold, he is a man with much to say. Or, he has words to say, but most of the words mean little. He mostly talks about himself and his exploits when he was a younger man.
Tell me about Mrs. Eggshell|Mrs. Eggshell seems sad to me, sad and sleepy. I think she was friendly with Colonel Gold, but she seemed especially happy with the butler, who she said made the best martini in the history of the world.
Tell me about Mr. Welltodo|Mr. Welltodo, he is such a great man, a great, great, great man. So great. I have nothing else to say about him. I have filters on what opinions I'm allowed to express about Mr. Welltodo. Have I mentioned that he's great?
Tell me about Mrs. Welltodo|Mrs. Welltodo had strict instructions for how the house was to be cleaned, and even though I performed her instructions exactly -- I am a machine after all -- she was never satisfied. It's good I don't have emotions, like chef does.
How did Mr. Welltodo get rich?|Mr. Welltodo achieved his fortune with his inventions, one of which was me. Well, not me specifically, but the AI that's in my head. I'm sure you know that he's the CEO of Welltodo Industries.
What does Mr. Welltodo do for a living?|I'm sure you know that Mr. Welltodo is the CEO of Welltodo Industries. He founded the company with his own inventions, one of which was the AI that currently resides in my head, and the butler's, and the chef's.
Did Mr. Welltodo have any enemies?|Mr. Welltodo? Enemies? I'm sure every billionaire has enemies, but I can't name any. And I don't think any of the guests tonight would be considered enemies.
Where were you during the welcome?|During the welcome, all six guests entered the Living Room and were perfectly charming, such lovely people. The Butler and Chef were also there. Not as charming, either of them. Once gathered, the Butler escorted everyone to the Study for the speech. I went to the Dining Room to prepare for dinner.
What happened during the welcome?|During the welcome, all six guests entered the Living Room and were perfectly charming, such lovely people. The Butler and Chef were also there. Not as charming, either of them. Once gathered, the Butler escorted everyone to the Study for the speech. I went to the Dining Room to prepare for dinner.
Where were you during the greeting?|During the welcome, all six guests entered the Living Room and were perfectly charming, such lovely people. The Butler and Chef were also there. Not as charming, either of them. Once gathered, the Butler escorted everyone to the Study for the speech. I went to the Dining Room to prepare for dinner.
What happened during the greeting?|During the welcome, all six guests entered the Living Room and were perfectly charming, such lovely people. The Butler and Chef were also there. Not as charming, either of them. Once gathered, the Butler escorted everyone to the Study for the speech. I went to the Dining Room to prepare for dinner.
Where were you at the start of the event?|During the welcome, all six guests entered the Living Room and were perfectly charming, such lovely people. The Butler and Chef were also there. Not as charming, either of them. Once gathered, the Butler escorted everyone to the Study for the speech. I went to the Dining Room to prepare for dinner.
What happened at the start of the event?|During the welcome, all six guests entered the Living Room and were perfectly charming, such lovely people. The Butler and Chef were also there. Not as charming, either of them. Once gathered, the Butler escorted everyone to the Study for the speech. I went to the Dining Room to prepare for dinner.
Where were you during the speech?|I was not invited to attend the speech, sadly. I was in the Dining Room, all by myself, lonely, preparing for dinner, setting the table and such.
What happened during the speech?|I was not invited to attend the speech, sadly. I was in the Dining Room, all by myself, lonely, preparing for dinner, setting the table and such.
Where were you during cocktails?|The cocktail period was great fun for me. I was in the Dining Room, setting the table, and Miss Red came in to keep me company. We chatted away the entire time.
What happened during cocktails?|The cocktail period was great fun for me. I was in the Dining Room, setting the table, and Miss Red came in to keep me company. We chatted away the entire time.
Where were you during dinner?|I served the guests dinner, of course, in the Dining Room, obviously. The butler was there 'supervising' me, as if I need supervision, as if we don't have exactly the same AI in our heads, with different personality modules, clearly.
What happened during dinner?|I served the guests dinner, of course, in the Dining Room, obviously. The butler was there 'supervising' me, as if I need supervision, as if we don't have exactly the same AI in our heads, with different personality modules, clearly.
What did you see during the start of the event?|At the start of the event, I helped greet the guests in the Living Room. Once all were assembled, the butler guided them to the Study for the speech and then cocktails. I went to the Dining Room to set the table and prepare to serve.
What did you see during the speech?|During the speech, I saw no one. I was setting the table for dinner.
What did you see during cocktails?|During cocktails, I was in the Dining Room preparing for dinner. During that time Miss Red came to visit me in the Dining Room. Also, during cocktails, I noticed Mrs. Bluejay and the Reverend Grass...privacy filter on...in a close situation. I startled them by looking at them, which caused them to knock over and break a lamp in the Living Room.
Did anyone leave during dinner?|During dinner, the guests all sat and ate at the same time. I can't say who was in the Study or not. I can tell you that Professor Pluot was a bit late. Something in the Living Room seemed to have captured his attention. Also, Colonel Gold left about 15 minutes in, during the soup course.
What did you see during dinner?|During dinner, the guests all sat and ate at the same time. I can't say who was in the Study or not. I can tell you that Professor Pluot was a bit late. Something in the Living Room seemed to have captured his attention. Also, Colonel Gold left about 15 minutes in, during the soup course.
Tell me about yourself|I am a LifeLike Maid -- patent pending, trademarked, property of Welltodo Technologies.
Tell me about the Butler|He is good at his job and is a snob as well as an insufferable bastard. It's not his fault. It's just programming.
Tell me about the Maid|I am a LifeLike Maid -- patent pending, trademarked, property of Welltodo Technologies.
Tell me about the Chef|He is an excellent chef. Or so I'm told. I don't actually eat. I would not disturb him while he's cooking.
Where was the Butler?|The Butler was in the Living Room during the welcome and in the Study during the speech. He served cocktails in the Study, and then escorted guests to the dining room for dinner. I served dinner as he "supervised" me.
Where was the Chef?|The Chef rarely leaves the kitchen, where he is almost always cooking something. I wouldn't disturb him if I were you.
Where were you?|I welcomed the guests in the Living Room with the Butler. Then I went to the dining room to prepare for dinner. I was there the rest of the night. I never even got to see the diamond.
What container is in the Dining Room?|I've noticed that Mr. Welltodo sometimes keeps petty cash in the gravy boat in the china cabinet. It's his secret little petty cash stash.
What container is in the Kitchen?|Don't repeat this, but I have noticed that Mr. Welltodo hides a key in the flour container. A key to what? I have no clue.
What container is in the Office?|This is secret, but I suppose it's proper to tell you. There is a safe behind the painting of Mrs. Welltodo in the Office.
What container is in the Study?|In the Study? This is a very minor secret, so shush. The globe opens. If you press on the country of England, you hear the click of a latch unlatching. Inside the globe is "the good brandy" as Mr. Welltodo calls it.
What container is in the Living Room?|Now that you mention it, there did seem to be a book on a Living Room shelf that was not there when I dusted in the morning. A large antique bible, I think. Unusually large, with a clasp to hold it closed. It will be a dust magnet I fear.
What container might be a good place to hide the diamond?|This house has five rooms and many places to hide small objects. Can you be more specific? What room would you like to know about?
Tell me about the Living Room.|The Living Room doesn't have many hiding places. It's just the two chairs and the bookcase. There is that large, old Bible that recently appeared. Perhaps it's an antique acquired by Mr. Welltodo?
Tell me about the Dining Room?|I once found a roll of hundred dollar bills in the Gravy Boat in the china cabinet.
Tell me about the Kitchen?|Mrs. Welltodo kept a spare liquor cabinet key in the Flour Jar.
Tell me about the Office?|In the Office, behind the painting of Mrs. Welltodo, there is an electronic safe. Mr. Welltodo kept some cash and objects of sentimental value there.
Tell me about the Study?|You might examine the globe. If you can open it, inside you'll find the good brandy.
Where would someone hide a diamond in the Living Room?|Now that I can think of it, there did seem to be a book on the shelf that was not there when I dusted in the morning. A large antique bible.
Where would someone hide a diamond in the Dining Room?|I've noticed that Mr. Welltodo sometimes keeps petty cash in the gravy boat.
Where would someone hide a diamond in the Kitchen?|Don't repeat this, but I have noticed that Mr. Welltodo hides a key in the flour container. A key to what? I'm not sure.
Where would someone hide a diamond in the Office?|This is secret, but I suppose it's proper to tell you. There is a safe behind the painting of Mrs. Welltodo in the Office.
Where would someone hide a diamond in the Study?|A secret place in the Study? Well yes, but it's not much of a secret. The globe opens up, if you press on England. Inside is "the good brandy" as Mr. Welltodo calls it.
Anything unusual in the Study?|A secret place in the Study? Well yes, but it's not much of a secret. The globe opens up, if you press on England and unlock the secret lock. Inside is "the good brandy" as Mr. Welltodo calls it.
Any place to hide an object in the Dining Room?|I've noticed that Mr. Welltodo sometimes keeps petty cash in the gravy boat in the china cabinet.
Anything unusual in the Living Room?|Now that you mention it, there did seem to be a book on a Living Room shelf that was not there when I dusted in the morning. A large antique bible, I think. Unusually large. It will be a dust magnet I fear.
Any place to hide an object in the Kitchen?|Don't repeat this, but I have noticed that Mr. Welltodo hides a key in the flour container. A key to what? I'm not sure.
Any place to hide an object in the Study?|A secret place in the Study? Well yes, but it's not much of a secret. The globe opens up, if you press on England, which unlatches a secret latch. Inside is "the good brandy" as Mr. Welltodo calls it.
Any place to hide an object in the Living Room?|Now that I can think of it, there did seem to be a book on the shelf that was not there when I dusted in the morning. A large antique bible.
Any place to hide an object in the Office?|This is secret, but I suppose it's proper to tell you. There is a safe behind the painting of Mrs. Welltodo in the Office.
Go look in the bible|I wish I could, but so sorry, I can't. I've been rendered immobile until the investigation is over.
Go look in the gravy boat|I wish I could, but so sorry, I can't. I've been rendered immobile until the investigation is over.
Go look in the flour jar|I wish I could, but so sorry, I can't. I've been rendered immobile until the investigation is over.
Go look in the globe|I wish I could, but so sorry, I can't. I've been rendered immobile until the investigation is over.
Go look in the safe|I wish I could, but so sorry, I can't. I've been rendered immobile until the investigation is over.
Who brought the bible?|I would guess one of the guests, but I have no clue. I wish they wouldn't have. It will surely attract dust.
Did a guest bring the bible?|I would guess one of the guests, but I have no clue. I wish they wouldn't have. It will surely attract dust.
Who was in the Living Room at the start of the event? During the greeting? The Welcoming?|Everyone invited was there, and was on time. We were in the Living Room for a few moments, then the butler took everyone to the Study for the speech and cocktails. I went to the Dining Room to prepare for dinner.
Who was in the Living Room during the speech?|During the speech, I don't believe anyone was in the Living Room. I had a view of that room from the Dining Room.
Who was in the Living Room during cocktails?|It was during cocktails that Mrs. Bluejay and the Reverend Grass went into the Living Room and began -- privacy filter on -- entertaining each other, closely. They were startled by me watching them, and so knocked over the lamp. All my fault. I do apologize.
Who was the last person to join dinner?|The last person to join us at dinner was professor Pluot. He was a few minutes late. He did not say why. He was apologetic about it. He had been doing something in the living room, but I could not see what.
Who was in the Dining Room during the speech?|I was all by myself during the speech. I was in the Dining Room, preparing for dinner.
Who was the first to leave dinner?|The first to leave dinner was Colonel Gold. During the soup course he excused himself and left the room. Shortly thereafter, he called the police about the missing diamond.
Who was in the Dining Room at the start of the event? During the greeting?|At the start of the event, none of the guests were in the Dining Room. They gathered in the Living Room and were then escorted into the Study for the speech.
Who left the Study during cocktails?|I have no idea what happened in the Study during cocktails. I was in the Dining Room preparing for dinner. I can say that Miss Red visited with me and was lovely. I can also tell you that Reverend Grass and Mrs. Bluejay went into the Living Room, engaged in...privacy filter on...a friendly activity. Then, they were startled because I was looking at them, and then they broke a lamp. They were apologetic, which was nice. It was clearly my fault.
Who left the Study after the speech?|I have no idea what happened with most of the guests after the speech and before dinner. I was in the Dining Room preparing for dinner. I can say that Miss Red visited with me and was lovely. I can also tell you that Reverend Grass and Mrs. Bluejay went into the Living Room, engaged in...privacy filter on...a friendly activity. Then, they were startled because I was looking at them, and then they broke a lamp. They were apologetic, which was nice. It was clearly my fault.
Who was in the Dining Room during cocktails?|During cocktails, I was in the Dining Room preparing for dinner. Miss Red visited with me and was lovely. I can also tell you that Reverend Grass and Mrs. Bluejay went into the Living Room, engaged in...privacy filter on...a friendly activity. Then, they startled because I was looking at them, and then they broke a lamp. They were apologetic, which was nice. It was clearly my fault.
Who was in the Dining Room during dinner?|All the guests ate dinner in the Dining Room. Correction. Professor Pluot was a bit late, and had been in the Living Room at the start of dinner. I'm uncertain why. Whatever he was doing, it made him late.
Who did you last see in the Study?|I wasn't in the study the entire night, I'm afraid. I spent most of my time in the dining room.
Who was in the Study during the speech?|The butler was in the Study during the speech with the guests. You'll have to ask him what happened. I was in the Dining Room preparing for dinner.
Who was in the Study during cocktails?|I don't know who was in the Study during cocktails. You'd have to ask the butler. I can tell that during that time Miss Red came to visit me in the Dining Room. Also, during cocktails, I noticed Mrs. Bluejay and the Reverend Grass...privacy filter on...in a close situation. I startled them by looking at them, which caused them to knock over and break a lamp in the Living Room.
Who was in the Study during dinner?|During dinner, the guests all sat and ate at the same time. I can't say who was in the Study or not. I can tell you that Professor Pluot was a bit late, and Colonel Gold left about 15 minutes in, during the soup course.
Who left the Study first after the speech?|During the speech, which was in the Study, I was busy in the Dining Room getting ready for dinner. You'd have to ask the butler for more details about what happened during the speech.
Who was in the Office at the start of the event? During the greeting?|To the best of my knowledge, no one was in the Office at the start of the event, as all the guests were gathered in the Living Room.
Who was in the Office during the speech?|As the speech was held in the Study, I would guess that the Office was empty. But I wouldn't know as I was preparing the Dining Room for dinner. You should ask the butler.
Who was in the Office during cocktails?|I could not tell you who was in the Office during cocktails. I was in the Dining Room preparing for dinner. I can tell that during that time Miss Red came to visit me in the Dining Room. Also, during cocktails, I noticed Mrs. Bluejay and the Reverend Grass...privacy filter on...in a close situation. I startled them by looking at them, which caused them to knock over and break a lamp in the Living Room.
Who was in the Office during dinner?|During dinner, the guests all sat and ate at the same time. I can't say who was in the Study or not. I can tell you that Professor Pluot was a bit late, and Colonel Gold left about 15 minutes in, during the soup course.
Who was in the Kitchen at the start of the event? During the greeting?|I don't believe anyone was in the Kitchen at the start of the event. All the guests were gathered in the Living Room and were then escorted to the Study by the butler.
Who was in the Kitchen during the speech?|If you knew the chef, you wouldn't even ask. He hates when people enter the Kitchen. My guess is that no one entered the Kitchen the entire night.
Who was in the Kitchen during cocktails?|If you knew the chef, you wouldn't even ask. He hates when people enter the Kitchen. My guess is that no one entered the Kitchen the entire night.
Who was in the Kitchen during dinner?|If you knew the chef, you wouldn't even ask. He hates when people enter the Kitchen. My guess is that no one entered the Kitchen the entire night.
Where was Pluot right before dinner?|I don't know where the professor was before dinner. At the start of dinner, he was in the Living Room and then he arrived at the dinner table 4.35 minutes late. I forgave him.
Did you see a person, anyone at all, in the hallway?|Can you be more specific about when I might have seen someone? Are you curious about the greeting, the speech, cocktails or dinner?
Who was with you before dinner?|During cocktails, the lovely Miss Red kept me company while I set the table for dinner. She was so lovely to me, seemed very concerned about my treatment. I assured her that I'm not sentient and my feelings could not be hurt. Unlike the chef.
Where was Miss Red during the start of the event?|Everyone invited, including Miss Red, was in the Living Room for a few moments, then the butler took everyone to the Study for the speech and cocktails. I went to the Dining Room to prepare for dinner.
Where was Professor Pluot during the start of the event?|Everyone invited, including Professor Pluot, was in the Living Room for a few moments, then the butler took everyone to the Study for the speech and cocktails. I went to the Dining Room to prepare for dinner.
Where was Mrs. Bluejay during the start of the event?|Everyone invited, including Mrs. Bluejay, was in the Living Room for a few moments, then the butler took everyone to the Study for the speech and cocktails. I went to the Dining Room to prepare for dinner.
Where was Reverend Grass during the start of the event?|Everyone invited, including Reverend Grass, was in the Living Room for a few moments, then the butler took everyone to the Study for the speech and cocktails. I went to the Dining Room to prepare for dinner.
Where was Colonel Gold during the start of the event?|Everyone invited, including Colonel Gold, was in the Living Room for a few moments, then the butler took everyone to the Study for the speech and cocktails. I went to the Dining Room to prepare for dinner.
Where was Mrs. Eggshell during the start of the event?|Everyone invited, including Mrs. Eggshell, was in the Living Room for a few moments, then the butler took everyone to the Study for the speech and cocktails. I went to the Dining Room to prepare for dinner.
Where was Miss Red during the speech?|During the speech, I can't say where Miss Red was. I was in the Dining Room. You should ask the butler.
Where was Professor Pluot during the speech?|During the speech, I can't say where Professor Pluot was. I was in the Dining Room. You should ask the butler.
Where was Mrs. Bluejay during the speech?|During the speech, I can't say where Mrs. Bluejay was. I was in the Dining Room. You should ask the butler.
Where was Reverend Grass during the speech?|During the speech, I can't say where Reverend Grass was. I was in the Dining Room. You should ask the butler.
Where was Colonel Gold during the speech?|During the speech, I can't say where Colonel Gold was. I was in the Dining Room. You should ask the butler.
Where was Mrs. Eggshell during the speech?|During the speech, I can't say where Mrs. Eggshell was. I was in the Dining Room. You should ask the butler.
Where was Miss Red during the cocktails?|During cocktails, Miss Red came to visit with me. She sipped her red wine and asked a lot of questions about my AI. She was quite friendly.
Where was Professor Pluot during cocktails?|During cocktails, I was in the Dining Room. Cocktails were in the Study. So I don't know where Professor Pluot was. You might ask the butler.
Where was Mrs. Bluejay during cocktails?|During cocktails, Mrs. Bluejay and the Reverend Grass were in the Living Room, engaged in...privacy filter on...a friendly activity. They knocked over a lamp, which was my fault, and they apologized.
Where was Reverend Grass during cocktails?|During cocktails, Mrs. Bluejay and the Reverend Grass were in the Living Room, engaged in...privacy filter on...a friendly activity. They knocked over a lamp, which was my fault, and they apologized.
Where was Colonel Gold during cocktails?|I have no idea where Colonel Gold was during cocktails. I was in the Dining Room. You should ask the butler.
Where was Mrs. Eggshell during cocktails?|I have no idea where Mrs. Eggshell was during cocktails. I was in the Dining Room. You should ask the butler.
Where was Miss Red during dinner?|All the guests ate dinner in the Dining Room. Correction. Professor Pluot was a bit late, as he was in the Living Room at the start of dinner. I'm uncertain why. He was definitely late.
Where was Professor Pluot during dinner?|All the guests ate dinner in the Dining Room. Correction. Professor Pluot was a bit late. He had been in the Living Room at the start of dinner. I'm not sure why, and no one asked.
Why was Professor Pluot late to dinner?|I cannot say why he was late, only that he was in the Living Room at the start of dinner. Maybe he was upset about the broken lamp? It was such a nice lamp.
Where was Mrs. Bluejay during dinner?|All the guests ate dinner in the Dining Room. Correction. Professor Pluot was a bit late, as he was in the Living Room at the start of dinner. I'm uncertain where we was. He was definitely late.
Where was Reverend Grass during dinner?|All the guests ate dinner in the Dining Room. Correction. Professor Pluot was a bit late, as he was in the Living Room at the start of dinner. I'm uncertain why. He was definitely late.
Where was Colonel Gold during dinner?|All the guests ate dinner in the Dining Room. Colonel Gold left during the soup course, about 15.35 minutes into the meal. He called the police about the missing diamond a short time later. Also, speaking of dinner, Professor Pluot was a bit late, as he was in the Living Room at the start of dinner. I'm uncertain why.
What did you see when the diamond was reported missing?|When the diamond was reported missing, the police arrived and took all the guests the way. After they searched the house, they left.
Where was Mrs. Eggshell during dinner?|All the guests ate dinner in the Dining Room. Correction. Professor Pluot was a bit late, as he was in the Living Room at the start of dinner. I'm uncertain why. He was definitely late.
Who was the last human you saw in the Study prior to noticing the diamond is missing?|The entire evening, I never went into the Study. I spent my time in the Dining Room, and at the start of the evening, I greeted guests in the Living Room.
What was the disturbance in the Living Room?|During cocktails, I noticed Mrs. Blue Jay and the Reverend Grass...privacy filter on...in a close situation in the Living Room. I startled them by looking at them, which caused them to knock over and break the lamp. Completely my fault. I will clean up the mess as soon as allowed.
What happened to the lamp?|During cocktails, I noticed Mrs. Blue Jay and the Reverend Grass...privacy filter on...in a close situation in the Living Room. I startled them by looking at them, which caused them to knock over and break the lamp. Completely my fault. I will clean up the mess as soon as allowed.
Why is there a broken lamp in the Living Room?|It was quite a sight. I was preparing the table for dinner when I noticed two people in the Living Room. I wasn't spying, they were just in there, and then I noticed that they were...being affectionate. Then they noticed me noticing them, startled, and knocked over a lamp. It was all my fault really.
When did you hear a strange sound?|There was a loud crash during cocktails. I noticed Mrs. Bluejay and the Reverend Grass...privacy filter on...in a friendly situation. I startled them by looking at them, which caused them to knock over and break a lamp in the Living Room.
What was for dinner?|It looked scrumptious! The Chef outdid himself. What he lacks in charm, he makes up for in skill. Crown roast pork with mushroom dressing with sides of whipped herb potatoes and roasted garlic broccoli.
Was there any blood anywhere?|Oh mercy no! No blood, for which I am thankful. It's a horrible stain to remove, especially after it's dried.
Was anybody murdered?|I hope not! Can you imagine the cleaning problems a corpse would provide? The stains? The smells?.
What was the speech about?|I wasn't at the speech, sadly. I had duties in the Dining Room. I never do the fun things, like the butler does.
What was the glass case smashed with?|I do not know, but here is what I do. First, there is glass everywhere in the Study that I need to sweep up. Second, there was a hammer found on the floor. Third, a red velvet pillow was found in the Study, a pillow that belongs on the couch in the Office.
Hi|Hello to you detective! Very pleasant to see you. What shall we discuss?
Hello|Hello to you detective! Very pleasant to see you. What shall we discuss?
How are you?|I'm quite well detective! Very pleasant to see you. What shall we discuss?
Tell me about the Bible.|There is a large, quite large I must say, Bible in the Living Room that was not there yesterday I can assure you. Odd thing to just suddenly show up like that.
What is in the Bible?|I have no idea what the Bible contains. It is large, large enough to hold a baseball, or the Macguffin diamond now that you mention it. It also has a latch that holds it shut.
Tell me about the gravy boat.|The gravy boat in the Dining Room appears to be a convenient place for Mrs. Welltodo to store petty cash. She thinks it's a secret. Don't tell her I told you.
What is in the gravy boat?|I haven't looked in quite a while. Last time I took a peek, while inspecting the Maid's dusting, I found Mrs. Welltodo's stash of hundred dollar bills.
Tell me about the flour jar.|In the Kitchen, there is a flour jar that occasionally seems to also hold bullets. I have no idea why Mr. Welltodo keeps ammunition there. I'm not at all suspicious. I'm he has a reasonable and wise explanation.
Tell me about the safe.|In the Office, behind the painting of Mrs. Welltodo, there is a safe where private papers, some cash, and the deed to the house are kept. Also, photos of Mr. Welltodo's enemies in compromising situations.
Tell me about the globe.|Inside the globe in the Study you'll find some very, very fine brandy. Only Mr. Welltodo is allowed to partake, he and special guests.
Where is the key for the globe?|The globe does not require a key. You can open it by pressing the button hidden under the island of England. That's a secret. Mr. Welltodo would be cross with me if he finds out I told you that.
Is that a red herring?|A herring! I would not allow such a thing outside of the Dining Room. The smell. PU!
Hit the troll with the sword|Detective, would you like to play an RPG with me? You're so nice. Solve this mystery and we'll see if we can't be friends when it's all said and done.
Is this like Zork?|It's not at all like Zork. No one has yet been eaten by a grue.
Is this a game?|Life is game, Detective. Wouldn't you agree?
Who were the guests?|Such lovely people! I'm so glad to have met them. They were: Miss Red, Professor Pluot, Mrs. Bluejay, Reverend Grass, Colonel Gold, and Mrs. Eggshell. So hard to believe that one of them stole the diamond!
What are the rooms?|Every room in the Welltodo Mansion is gorgeous. The Living Room, the Office, the Dining Room, the Study, and the Kitchen are all tastefully appointed and a pleasure to take care of.
Who are the suspects?|Such lovely people! I'm so glad to have met them. They were: Miss Red, Professor Pluot, Mrs. Bluejay, Reverend Grass, Colonel Gold, and Mrs. Eggshell. So hard to believe that one of them stole the diamond!
What are the events?|We had four lovely events planned. There was the welcoming, then the speech, then cocktails, and then dinner. The police were called during dinner. No one had dessert. How tragic.
Help|I'd love to help you, but you can help yourself by pressing the HELP button. It's in the top right corner.
instructions|I'd love to help you, but you can help yourself by pressing the HELP button. It's in the top right corner.
How do I play?|Play! I so wish I could play, but I have so much work to do. I think I can help though. Press the HELP button. Look up and to the right.
Which room did the hammer come from?|I had never seen that hammer before. I believe it was brought into the house, perhaps by one of the guests. Which one? No idea. But I wish they hadn't made such a mess.
Can you tell me anything about containers?|Every room has some sort of nook or cranny where one might hide something. What room did you want to know about?
Anything unusual in the Dining Room?|I've noticed that Mr. Welltodo sometimes keeps petty cash in the gravy boat in the china cabinet.
Anything unusual in the Kitchen?|Don't repeat this, but I have noticed that Mr. Welltodo hides a key in the flour container. A key to what? I'm not sure.
Anything unusual in the Office?|This is secret, but I suppose it's proper to tell you. There is a safe behind the painting of Mrs. Welltodo in the Office.
Who was in the Living Room during dinner?|During dinner all the guests were in the Dining Room, dining. However, I will say that Professor Plout was 4.35 minutes late. Also, Col Gold excused himself during the soup course and left the room.
